epoch,train_loss,train_acc,val_loss,val_acc
1,0.6979012756120591,0.5,0.6920439905590481,0.5
2,0.6876120970362709,0.5,0.6821654571427239,0.5
3,0.6759298097519647,0.5,0.6684123714764912,0.5
4,0.6591561623982021,0.5142857142857142,0.6472841686672635,0.6888888888888889
5,0.6322498962992713,0.7476190476190476,0.615325653553009,0.9888888888888889
6,0.5898090515817914,0.9928571428571429,0.5628977961010403,0.9777777777777777
7,0.5346345816339765,0.9785714285714285,0.49688170353571576,0.9888888888888889
8,0.4662270949000404,0.9976190476190476,0.42495030562082925,1.0
9,0.38780695341882254,1.0,0.344256368610594,1.0
10,0.3051543435880116,1.0,0.27304854525460137,1.0
11,0.2304754342351641,1.0,0.1944466170337465,1.0
12,0.16474617677075523,1.0,0.1422625544998381,1.0
13,0.11816099569911048,1.0,0.09272893617550532,1.0
14,0.07899616389047531,1.0,0.07713849362399842,1.0
15,0.05816857066182863,1.0,0.04352362561557028,1.0
16,0.03918877563306263,1.0,0.031768860833512415,1.0
17,0.02874797653584253,1.0,0.02382895023458534,1.0
18,0.02221873008779117,1.0,0.019982328141729035,1.0
19,0.02012046765358675,1.0,0.014090592972934246,1.0
20,0.013255843431467101,1.0,0.01085021508236726,1.0
21,0.010344489686013687,1.0,0.008478100722034773,1.0
22,0.008158951146262033,1.0,0.006626120157953766,1.0
23,0.00645712021560896,1.0,0.005254543789972862,1.0
24,0.004965072134066196,1.0,0.0039397609109679856,1.0
25,0.003922475348891956,1.0,0.0033209677630414566,1.0
26,0.003292759075494749,1.0,0.002725087090705832,1.0
27,0.002412673330954498,1.0,0.0018914760969993142,1.0
28,0.0019198365598207428,1.0,0.0015175304168628322,1.0
29,0.001629794642905749,1.0,0.0012044337397027346,1.0
30,0.001247167320079392,1.0,0.0010398593976990217,1.0
31,0.0009692113092612652,1.0,0.000745550721573333,1.0
32,0.0007924908553139262,1.0,0.000593376393792116,1.0
33,0.000609745082467617,1.0,0.000501944804434768,1.0
34,0.0005145340525944318,1.0,0.0004314260770721982,1.0
35,0.0004407450955893312,1.0,0.0003788407491002646,1.0
36,0.00046238042192444913,1.0,0.0003258033674986412,1.0
37,0.00033935222586262083,1.0,0.00028234949244910644,1.0
38,0.0002920775168431213,1.0,0.00026526282373298373,1.0
39,0.0002757435491297483,1.0,0.00024170979514666317,1.0
40,0.00025671342875631083,1.0,0.00022903156835430612,1.0
41,0.00024141111061908304,1.0,0.00021257311099260633,1.0
42,0.00022676880499126301,1.0,0.0002010936143859807,1.0
43,0.00022211985252354116,1.0,0.0001938046480063349,1.0
44,0.00020927930184240853,1.0,0.0001833649342491602,1.0
45,0.00020199142773413942,1.0,0.00017560495180077851,1.0
46,0.0001883498889843135,1.0,0.00016937874865511225,1.0
47,0.0001835108540641765,1.0,0.0001620728137721825,1.0
48,0.0001775073076021813,1.0,0.00015745421341206465,1.0
49,0.0001712722523647937,1.0,0.0001525202269678832,1.0
50,0.00016871950120687308,1.0,0.00014767324496966063,1.0
