epoch,train_loss,train_acc,val_loss,val_acc
1,0.2921433426084973,0.9571428571428572,0.46983342899216546,0.9444444444444444
2,0.04740660105432783,0.9976190476190476,0.037420661167965996,1.0
3,0.010184616701943533,1.0,0.0073423880152404305,1.0
4,0.003311415138610062,1.0,0.004101593854526678,1.0
5,0.005445538629733381,1.0,0.0011036886523167293,1.0
6,0.0035181088151321526,1.0,0.0009371649706736207,1.0
7,0.0016942883752996012,1.0,0.0010074550725726618,1.0
8,0.0065544784689943,0.9976190476190476,0.0011391714370499054,1.0
9,0.006330974422217835,1.0,0.0014026582965420353,1.0
10,0.00461177974662167,1.0,0.000821348521599753,1.0
11,0.0025262766747757614,1.0,0.0008353635668754578,1.0
12,0.0011303702147588844,1.0,0.0005085673506578638,1.0
13,0.000706462160728517,1.0,0.00041474525868478746,1.0
14,0.000777245103987904,1.0,0.0002853966124045352,1.0
15,0.0005528127702529586,1.0,0.00020318333020744224,1.0
16,0.0049388977261038405,0.9976190476190476,0.27717995312478805,0.8666666666666667
17,0.003529935867326068,1.0,0.0008862905437126755,1.0
18,0.0010086747473126577,1.0,0.00044343945337459444,1.0
19,0.0006456722826918675,1.0,0.00018747435598116783,1.0
20,0.0004155882284976542,1.0,0.000182935580637099,1.0
21,0.00017697186359284735,1.0,0.00012832162157994591,1.0
22,0.0005673659300165517,1.0,0.00013615457218192105,1.0
23,0.00025390149703958913,1.0,9.8970201118694e-05,1.0
24,0.00017880965285820864,1.0,6.92735217550459e-05,1.0
25,0.0001580153073605505,1.0,4.759308277344745e-05,1.0
26,0.00012927823613392234,1.0,4.4995817087409606e-05,1.0
27,0.0001886816290650694,1.0,4.218787637202897e-05,1.0
28,0.00015479781931000098,1.0,2.9331393307074904e-05,1.0
29,0.0002525321796946671,1.0,2.8993657421475896e-05,1.0
30,7.673871572305437e-05,1.0,2.986913055388464e-05,1.0
31,0.0006684989640710964,1.0,1.2288948467661005e-05,1.0
32,0.0016244115529670602,1.0,0.0002169367068240212,1.0
33,0.0006470528792955779,1.0,0.00010247631596737645,1.0
34,0.0021702320375923245,0.9976190476190476,1.2278370276261638e-05,1.0
35,0.0032910470872940054,1.0,3.93532697570562e-05,1.0
36,0.003583784508685182,1.0,0.00026463574613444507,1.0
37,0.0017509827135308157,1.0,0.00042923573637381195,1.0
38,0.000902518994102831,1.0,0.00028958093284422326,1.0
39,0.0004632465544134556,1.0,0.0002211552566020853,1.0
40,0.0007703992053783232,1.0,0.0001729126728605479,1.0
41,0.00039783179471712736,1.0,0.00017930292977123624,1.0
42,0.0004991751782307844,1.0,0.00017076274865151692,1.0
43,0.0002131420726159593,1.0,0.00011922599385595984,1.0
44,0.0002499982279481455,1.0,0.00012854820104419358,1.0
45,0.00026990907102853747,1.0,9.229991410393268e-05,1.0
46,0.0002616672449914317,1.0,6.971020516680761e-05,1.0
47,0.06325561241191324,0.9976190476190476,4.53962353478548e-05,1.0
48,0.00021214028751966822,1.0,2.8744875695944453e-05,1.0
49,0.0006456748636949106,1.0,5.828693489699314e-05,1.0
50,0.0004005006504788374,1.0,0.00013105273958192103,1.0
51,0.00020337301234359898,1.0,0.00014874354043665033,1.0
52,0.0003231756228377067,1.0,0.00010111438621404685,1.0
53,0.00017343903233441304,1.0,4.410590190673247e-05,1.0
54,0.00022586203246776547,1.0,5.60130118780459e-05,1.0
